##--Author      JRM Annand   29th Apr 2003
##--Update      R Gregor...
##--Description
##                *** Acqu++ <-> Root ***
## Online/Offline Analysis of Sub-Atomic Physics Experimental Data
##
## Parameter File: TAPS_BaF2.dat
## Setup of decoding of BaF2 information
##
##-----------------------------------------------------------------------
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:  384    1       1       1
#RawHits:
#BitPattern: data/Dec_07/TAPS/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element: 26072  0.01 20. 85.2618	0.01031       26372  -200.0  200.0 2848.3291  0.050  -15.588456  -15.000000  146.350000
Element: 26073  0.01 20. 85.229	0.0156865      26373  -200.0  200.0 2941.8490  0.050  -10.392304  -18.000000  146.350000
Element: 26074  0.01 20. 86.3496	0.0133616     26374  -200.0  200.0 2937.9430  0.050   -5.196152  -21.000000  146.350000
Element: 26075  0.01 20. 85.5159	0.00992949    26375  -200.0  200.0 2949.1295  0.050  -25.980761  -15.000000  146.350000
Element: 28094  0.01 20. 85.5111	0.0431362     28394  -200.0  200.0 2609.9430  0.050  -20.784609  -18.000000  146.350000
Element: 26077  0.01 20. 85.6852	0.0143871     26377  -200.0  200.0 2946.7463  0.050  -15.588456  -21.000000  146.350000
Element: 26078  0.01 20. 85.5502	0.0159303     26378  -200.0  200.0 2956.5331  0.050  -10.392304  -24.000000  146.350000
Element: 26079  0.01 20. 85.7564	0.0101368     26379  -200.0  200.0 2958.0085  0.050   -5.196152  -27.000000  146.350000
Element: 26080  0.01 20. 85.4861	0.0088925     26380  -200.0  200.0 2920.0479  0.050  -31.176912  -18.000000  146.350000
Element: 26081  0.01 20. 86.5002	0.0124134     26381  -200.0  200.0 2962.2191  0.050  -25.980761  -21.000000  146.350000
Element: 26082  0.01 20. 86.0085	0.015766      26382  -200.0  200.0 2916.3291  0.050  -20.784609  -24.000000  146.350000
Element: 26083  0.01 20. 85.6853	0.0158177     26383  -200.0  200.0 2965.8490  0.050  -15.588456  -27.000000  146.350000
Element: 26084  0.01 20. 86.137	0.0176294      26384  -200.0  200.0 2953.9430  0.050  -10.392304  -30.000000  146.350000
Element: 26085  0.01 20. 86.2181	0.0203343     26385  -200.0  200.0 2945.1295  0.050   -5.196152  -33.000000  146.350000
Element: 26086  0.01 20. 86.171	0.0141211      26386  -200.0  200.0 2953.7114  0.050  -36.373062  -21.000000  146.350000
Element: 26087  0.01 20. 86.2257	0.0259797     26387  -200.0  200.0 2914.7463  0.050  -31.176912  -24.000000  146.350000
Element: 26088  0.01 20. 86.2312	0.0218531     26388  -200.0  200.0 2924.5331  0.050  -25.980761  -27.000000  146.350000
Element: 26089  0.01 20. 86.0104	0.0184643     26389  -200.0  200.0 2946.0085  0.050  -20.784609  -30.000000  146.350000
Element: 26090  0.01 20. 85.7256	0.0163979     26390  -200.0  200.0 2932.0479  0.050  -15.588456  -33.000000  146.350000
Element: 26091  0.01 20. 85.7224	0.0208234     26391  -200.0  200.0 2970.2191  0.050  -10.392304  -36.000000  146.350000
Element: 26092  0.01 20. 86.2158	0.0240804     26392  -200.0  200.0 2968.3291  0.050   -5.196152  -39.000000  146.350000
Element: 26093  0.01 20. 86.0267	0.0101583     26393  -200.0  200.0 2853.8490  0.050  -41.569218  -24.000000  146.350000
Element: 26094  0.01 20. 85.3833	0.0155971     26394  -200.0  200.0 2961.9430  0.050  -36.373062  -27.000000  146.350000
Element: 26095  0.01 20. 85.9202	0.0257974     26395  -200.0  200.0 2957.1295  0.050  -31.176912  -30.000000  146.350000
Element: 26096  0.01 20. 86.0839	0.0136051     26396  -200.0  200.0 2993.7114  0.050  -25.980761  -33.000000  146.350000
Element: 26097  0.01 20. 86.3479	0.00988787    26397  -200.0  200.0 2990.7463  0.050  -20.784609  -36.000000  146.350000
Element: 26098  0.01 20. 86.3128	0.00917947    26398  -200.0  200.0 2960.5331  0.050  -15.588456  -39.000000  146.350000
Element: 26099  0.01 20. 85.713	0.0086688      26399  -200.0  200.0 2982.0085  0.050  -10.392304  -42.000000  146.350000
Element: 26100  0.01 20. 86.1748	0.00821218    26400  -200.0  200.0 2972.0479  0.050   -5.196152  -45.000000  146.350000
Element: 26101  0.01 20. 85.9354	0.00811414    26401  -200.0  200.0 2996.0479  0.050  -46.765369  -27.000000  146.350000
Element: 26102  0.01 20. 85.8076	0.00909983    26402  -200.0  200.0 2916.0479  0.050  -41.569218  -30.000000  146.350000
Element: 26103  0.01 20. 86.4112	0.00762151    26403  -200.0  200.0 2992.0479  0.050  -36.373062  -33.000000  146.350000
Element: 26104  0.01 20. 85.8709	0.00759245    26404  -200.0  200.0 2976.0479  0.050  -31.176912  -36.000000  146.350000
Element: 26105  0.01 20. 86.0547	0.00961881    26405  -200.0  200.0 2980.0479  0.050  -25.980761  -39.000000  146.350000
Element: 26106  0.01 20. 86.0683	0.00890683    26406  -200.0  200.0 2968.0479  0.050  -20.784609  -42.000000  146.350000
Element: 26107  0.01 20. 85.8954	0.00837127    26407  -200.0  200.0 2992.0479  0.050  -15.588456  -45.000000  146.350000
Element: 26108  0.01 20. 85.824	0.0070069      26408  -200.0  200.0 2936.0479  0.050  -10.392304  -48.000000  146.350000
Element: 26109  0.01 20. 85.8337	0.00943626    26409  -200.0  200.0 3004.0479  0.050   -5.196152  -51.000000  146.350000
Element: 26110  0.01 20. 85.9179	0.00777025    26410  -200.0  200.0 2948.0479  0.050  -51.961521  -30.000000  146.350000
Element: 26111  0.01 20. 86.0206	0.00529145    26411  -200.0  200.0 3004.0479  0.050  -46.765369  -33.000000  146.350000
Element: 26112  0.01 20. 85.728	0.00751535     26412  -200.0  200.0 2808.0479  0.050  -41.569218  -36.000000  146.350000
Element: 26113  0.01 20. 86.3637	0.0104939     26413  -200.0  200.0 2968.0479  0.050  -36.373062  -39.000000  146.350000
Element: 26114  0.01 20. 86.1496	0.00842109    26414  -200.0  200.0 2924.0479  0.050  -31.176912  -42.000000  146.350000
Element: 26115  0.01 20. 86.5169	0.0084627     26415  -200.0  200.0 2944.0479  0.050  -25.980761  -45.000000  146.350000
Element: 26116  0.01 20. 86.2013	0.010314      26416  -200.0  200.0 2948.0479  0.050  -20.784609  -48.000000  146.350000
Element: 26117  0.01 20. 85.9755	0.00772401    26417  -200.0  200.0 2960.0479  0.050  -15.588456  -51.000000  146.350000
Element: 26118  0.01 20. 85.6947	0.00877005    26418  -200.0  200.0 2960.0479  0.050  -10.392304  -54.000000  146.350000
Element: 26119  0.01 20. 85.6981	0.00908784    26419  -200.0  200.0 2944.0479  0.050   -5.196152  -57.000000  146.350000
Element: 26120  0.01 20. 86.3588	0.00587205    26420  -200.0  200.0 2928.0479  0.050  -51.961521  -36.000000  146.350000
Element: 26121  0.01 20. 86.1811	0.0127903     26421  -200.0  200.0 2984.0479  0.050  -46.765369  -39.000000  146.350000
Element: 26122  0.01 20. 93.2491	0.0195469     26422  -200.0  200.0 2988.0479  0.050  -41.569218  -42.000000  146.350000
Element: 26123  0.01 20. 85.6331	0.00692538    26423  -200.0  200.0 2932.0479  0.050  -36.373062  -45.000000  146.350000
Element: 26124  0.01 20. 85.9086	0.00714492    26424  -200.0  200.0 3000.0479  0.050  -31.176912  -48.000000  146.350000
Element: 26125  0.01 20. 85.7534	0.0083328     26425  -200.0  200.0 3020.0479  0.050  -25.980761  -51.000000  146.350000
Element: 26126  0.01 20. 85.8209	0.0110892     26426  -200.0  200.0 2960.0479  0.050  -20.784609  -54.000000  146.350000
Element: 26127  0.01 20. 85.6424	0.0130595     26427  -200.0  200.0 2980.0479  0.050  -15.588456  -57.000000  146.350000
Element: 26128  0.01 20. 85.925	0.0129179      26428  -200.0  200.0 2972.0479  0.050  -10.392304  -60.000000  146.350000
Element: 27001  0.01 20. 85.6447	0.0130583     27301  -200.0  200.0 2913.1422  0.050    0.000000   -6.000000  146.350000
Element: 27002  0.01 20. 85.4959	0.0169014     27302  -200.0  200.0 2886.3795  0.050    0.000000  -12.000000  146.350000
Element: 27003  0.01 20. 85.2563	0.0132586     27303  -200.0  200.0 2904.6611  0.050    5.196152   -9.000000  146.350000
Element: 27004  0.01 20. 85.3806	0.0164691     27304  -200.0  200.0 2905.7220  0.050    0.000000  -18.000000  146.350000
Element: 27005  0.01 20. 85.1728	0.0181127     27305  -200.0  200.0 2876.2659  0.050    5.196152  -15.000000  146.350000
Element: 27006  0.01 20. 85.7436	0.0151017     27306  -200.0  200.0 2903.8684  0.050   10.392304  -12.000000  146.350000
Element: 27007  0.01 20. 85.6899	0.0146563     27307  -200.0  200.0 2873.6130  0.050    0.000000  -24.000000  146.350000
Element: 27008  0.01 20. 85.5016	0.0176204     27308  -200.0  200.0 2941.3597  0.050    5.196152  -21.000000  146.350000
Element: 27009  0.01 20. 86.449	0.0225929      27309  -200.0  200.0 2870.0171  0.050   10.392304  -18.000000  146.350000
Element: 27010  0.01 20. 94.1763	0.012735      27310  -200.0  200.0 2879.6221  0.050   15.588456  -15.000000  146.350000
Element: 27011  0.01 20. 86.3843	0.0137535     27311  -200.0  200.0 2855.9750  0.050    0.000000  -30.000000  146.350000
Element: 27012  0.01 20. 95.4213	0.0209925     27312  -200.0  200.0 2841.3668  0.050    5.196152  -27.000000  146.350000
Element: 27013  0.01 20. 85.6581	0.0169391     27313  -200.0  200.0 2894.8954  0.050   10.392304  -24.000000  146.350000
Element: 27014  0.01 20. 85.6288	0.0139239     27314  -200.0  200.0 2855.8923  0.050   15.588456  -21.000000  146.350000
Element: 27015  0.01 20. 86.163	0.014844       27315  -200.0  200.0 2858.6204  0.050   20.784609  -18.000000  146.350000
